filename,true_class,predicted_class,feature_set,iteration
1893_LarsenK_Cirkler,O,CANON,embeddings,72
1885_Moenster_Agnete,O,CANON,embeddings,73
1899_Thomsen_AfKainsSlaegt,O,CANON,embeddings,73
1898_KnudsenJ_EtGjensyn,O,CANON,embeddings,73
1884_Paulsen_EnDigtersHustru,O,CANON,embeddings,73
1895_MoellerO_GuldOgAere,O,CANON,embeddings,73
1870_Gerson_AfDetDagligeLiv,O,CANON,embeddings,73
1891_Markman_PovlBreinum,O,CANON,embeddings,74
1886_Moenster_IBraendingen,O,CANON,embeddings,74
1894_Muusmann_Bondekunstneren,O,CANON,embeddings,74
1883_Hambro_UnderScepter,O,CANON,embeddings,75
1874_Lykke_Juanita,O,CANON,embeddings,75
1884_JensenOC_EtBladForVinden,O,CANON,embeddings,75
1899_LieJ_FasteForland,O,CANON,embeddings,75
1883_Winterhjelm_FritzRandel,O,CANON,embeddings,76
1889_Vandel_Kraemmerliv,O,CANON,embeddings,77
1889_Thorson_BagDisken,O,CANON,embeddings,77
1887_HansenJ_KarenHav,O,CANON,embeddings,77
1896_AndersenT_Tvillingesoestrene,O,CANON,embeddings,77
1890_Rist_Soldater,O,CANON,embeddings,77
1894_Muusmann_Bondekunstneren,O,CANON,embeddings,78
1894_Cavling_FraDeDybeDale,O,CANON,embeddings,78
1881_Reinhard_Ikaros,O,CANON,embeddings,80
1882_Hambro_Einar,O,CANON,embeddings,80
1873_BruunC_FraEtHjoerneAfKirkegaarden,O,CANON,embeddings,80
1896_Rosenkilde_KarstensSkriftemaal,O,CANON,embeddings,81
1898_MadsenJ_GesandtensBoern,O,CANON,embeddings,81
1883_PaludanMueller_MargreteThorsen,O,CANON,embeddings,81
1883_NielsenZ_GamleVaner,O,CANON,embeddings,81
1881_Markman_Studenter,O,CANON,embeddings,82
1894_PetersenL_MellemKlitter,O,CANON,embeddings,82
1889_Birck_AageEllerEbbe,O,CANON,embeddings,82
1899_Reumert_Klitrose,O,CANON,embeddings,82
1899_Gnudtzmann_RidderThorvald,O,CANON,embeddings,83
1899_LarsenK_IDetGamleVoldkvarter,O,CANON,embeddings,83
1882_HansenP_KristianKjoebenhavner,O,CANON,embeddings,83
1899_LieJ_FasteForland,O,CANON,embeddings,83
1893_JoergensenJ_LivetsTrae,O,CANON,embeddings,84
1886_LieJ_KommandoerensDoettre,O,CANON,embeddings,84
1887_LieJ_EtSamliv,O,CANON,embeddings,84
1892_Reiserer_FraKaserneogGeled,O,CANON,embeddings,84
1895_LundV_Lars,O,CANON,embeddings,84
1891_Nansen_EtHjem,O,CANON,embeddings,86
1897_MadsenT_UnderKundskabensTrae,O,CANON,embeddings,86
1883_PaludanMueller_MargreteThorsen,O,CANON,embeddings,87
1894_Nansen_Maria,O,CANON,embeddings,87
